Reference year,Region of usual residence (SA4),Sex,Industry of main job,Weighted median of Weekly earnings in main job (for means and medians) (%)
Aug-16,South Australia,Male,Construction,1108.6
Aug-16,South Australia,Male,Wholesale Trade,1050
Aug-16,South Australia,Male,Retail Trade,672.4
Aug-16,South Australia,Male,Accommodation and Food Services,400
Aug-16,South Australia,Male,"Transport, Postal and Warehousing",1200
Aug-16,South Australia,Male,Information Media and Telecommunications,0
Aug-16,South Australia,Male,Financial and Insurance Services,1297
Aug-16,South Australia,Male,"Rental, Hiring and Real Estate Services",0
Aug-16,South Australia,Male,"Professional, Scientific and Technical Services",1281.8
Aug-16,South Australia,Male,Administrative and Support Services,954
Aug-16,South Australia,Male,Public Administration and Safety,1612
Aug-16,South Australia,Male,Education and Training,1464.6
Aug-16,South Australia,Male,Health Care and Social Assistance,1200
Aug-16,South Australia,Male,Arts and Recreation Services,0
Aug-16,South Australia,Male,Other Services,1000
Aug-16,South Australia,Female,"Agriculture, Forestry and Fishing",0
Aug-16,South Australia,Female,Mining,0
Aug-16,South Australia,Female,Manufacturing,759.6
Aug-16,South Australia,Female,"Electricity, Gas, Water and Waste Services",0
Aug-16,South Australia,Female,Construction,0
Aug-16,South Australia,Female,Wholesale Trade,908.1
Aug-16,South Australia,Female,Retail Trade,500
Aug-16,South Australia,Female,Accommodation and Food Services,400
Aug-16,South Australia,Female,"Transport, Postal and Warehousing",0
Aug-16,South Australia,Female,Information Media and Telecommunications,0
Aug-16,South Australia,Female,Financial and Insurance Services,829.8
Aug-16,South Australia,Female,"Rental, Hiring and Real Estate Services",794
Aug-16,South Australia,Female,"Professional, Scientific and Technical Services",1147.7
Aug-16,South Australia,Female,Administrative and Support Services,500
Aug-16,South Australia,Female,Public Administration and Safety,1150
Aug-16,South Australia,Female,Education and Training,1000
Aug-16,South Australia,Female,Health Care and Social Assistance,825.4
Aug-16,South Australia,Female,Arts and Recreation Services,0
Aug-16,South Australia,Female,Other Services,800
Aug-16,Western Australia,Male,"Agriculture, Forestry and Fishing",1200
Aug-16,Western Australia,Male,Mining,2235.8
Aug-16,Western Australia,Male,Manufacturing,1337.6
Aug-16,Western Australia,Male,"Electricity, Gas, Water and Waste Services",1678.8
Aug-16,Western Australia,Male,Construction,1313.9
Aug-16,Western Australia,Male,Wholesale Trade,1300
Aug-16,Western Australia,Male,Retail Trade,900
Aug-16,Western Australia,Male,Accommodation and Food Services,455.8
Aug-16,Western Australia,Male,"Transport, Postal and Warehousing",1501.2
Aug-16,Western Australia,Male,Information Media and Telecommunications,0
Aug-16,Western Australia,Male,Financial and Insurance Services,1627
Aug-16,Western Australia,Male,"Rental, Hiring and Real Estate Services",1663.2
Aug-16,Western Australia,Male,"Professional, Scientific and Technical Services",1553
Aug-16,Western Australia,Male,Administrative and Support Services,954.5
Aug-16,Western Australia,Male,Public Administration and Safety,1319.3
Aug-16,Western Australia,Male,Education and Training,1341.2
Aug-16,Western Australia,Male,Health Care and Social Assistance,1376.9
Aug-16,Western Australia,Male,Arts and Recreation Services,885.9
Aug-16,Western Australia,Male,Other Services,1001.3
Aug-16,Western Australia,Female,"Agriculture, Forestry and Fishing",0
Aug-16,Western Australia,Female,Mining,1378
Aug-16,Western Australia,Female,Manufacturing,803.2
Aug-16,Western Australia,Female,"Electricity, Gas, Water and Waste Services",0
Aug-16,Western Australia,Female,Construction,1083.4
Aug-16,Western Australia,Female,Wholesale Trade,0
Aug-16,Western Australia,Female,Retail Trade,570.2
Aug-16,Western Australia,Female,Accommodation and Food Services,361.9
Aug-16,Western Australia,Female,"Transport, Postal and Warehousing",750.3
Aug-16,Western Australia,Female,Information Media and Telecommunications,0
Aug-16,Western Australia,Female,Financial and Insurance Services,1000
Aug-16,Western Australia,Female,"Rental, Hiring and Real Estate Services",958.4
Aug-16,Western Australia,Female,"Professional, Scientific and Technical Services",1167.8
Aug-16,Western Australia,Female,Administrative and Support Services,748
Aug-16,Western Australia,Female,Public Administration and Safety,1345.2
Aug-16,Western Australia,Female,Education and Training,1010.2
Aug-16,Western Australia,Female,Health Care and Social Assistance,984
Aug-16,Western Australia,Female,Arts and Recreation Services,402.7
Aug-16,Western Australia,Female,Other Services,752.4
Aug-16,Tasmania,Male,"Agriculture, Forestry and Fishing",927.5
Aug-16,Tasmania,Male,Mining,1645.1
Aug-16,Tasmania,Male,Manufacturing,1124.7
Aug-16,Tasmania,Male,"Electricity, Gas, Water and Waste Services",1802.9
Aug-16,Tasmania,Male,Construction,1052
Aug-16,Tasmania,Male,Wholesale Trade,1183.3
Aug-16,Tasmania,Male,Retail Trade,799.1
Aug-16,Tasmania,Male,Accommodation and Food Services,643.1
Aug-16,Tasmania,Male,"Transport, Postal and Warehousing",1107.5
Aug-16,Tasmania,Male,Information Media and Telecommunications,0
Aug-16,Tasmania,Male,Financial and Insurance Services,0
Aug-16,Tasmania,Male,"Rental, Hiring and Real Estate Services",0
Aug-16,Tasmania,Male,"Professional, Scientific and Technical Services",1272.2
Aug-16,Tasmania,Male,Administrative and Support Services,0
Aug-16,Tasmania,Male,Public Administration and Safety,1071.4
Aug-16,Tasmania,Male,Education and Training,1156.5
Aug-16,Tasmania,Male,Health Care and Social Assistance,1250
Aug-16,Tasmania,Male,Arts and Recreation Services,0
Aug-16,Tasmania,Male,Other Services,888
Aug-16,Tasmania,Female,"Agriculture, Forestry and Fishing",640
Aug-16,Tasmania,Female,Mining,0
Aug-16,Tasmania,Female,Manufacturing,882.4
Aug-16,Tasmania,Female,"Electricity, Gas, Water and Waste Services",0
Aug-16,Tasmania,Female,Construction,0
Aug-16,Tasmania,Female,Wholesale Trade,0
Aug-16,Tasmania,Female,Retail Trade,587.5
Aug-16,Tasmania,Female,Accommodation and Food Services,355.1
Aug-16,Tasmania,Female,"Transport, Postal and Warehousing",0
Aug-16,Tasmania,Female,Information Media and Telecommunications,0
Aug-16,Tasmania,Female,Financial and Insurance Services,890.2
Aug-16,Tasmania,Female,"Rental, Hiring and Real Estate Services",0
Aug-16,Tasmania,Female,"Professional, Scientific and Technical Services",872.7
Aug-16,Tasmania,Female,Administrative and Support Services,0
Aug-16,Tasmania,Female,Public Administration and Safety,1085.4
Aug-16,Tasmania,Female,Education and Training,812.9
Aug-16,Tasmania,Female,Health Care and Social Assistance,765
Aug-16,Tasmania,Female,Arts and Recreation Services,0
Aug-16,Tasmania,Female,Other Services,0
Aug-16,Northern Territory,Male,"Agriculture, Forestry and Fishing",0
Aug-16,Northern Territory,Male,Mining,2540.4
Aug-16,Northern Territory,Male,Manufacturing,1400
Aug-16,Northern Territory,Male,"Electricity, Gas, Water and Waste Services",0
Aug-16,Northern Territory,Male,Construction,1600
Aug-16,Northern Territory,Male,Wholesale Trade,1527.3
Aug-16,Northern Territory,Male,Retail Trade,848.2
Aug-16,Northern Territory,Male,Accommodation and Food Services,684
Aug-16,Northern Territory,Male,"Transport, Postal and Warehousing",1296.1
Aug-16,Northern Territory,Male,Information Media and Telecommunications,0
Aug-16,Northern Territory,Male,Financial and Insurance Services,0
Aug-16,Northern Territory,Male,"Rental, Hiring and Real Estate Services",0
Aug-16,Northern Territory,Male,"Professional, Scientific and Technical Services",2272.1
Aug-16,Northern Territory,Male,Administrative and Support Services,0
Aug-16,Northern Territory,Male,Public Administration and Safety,1665.6
Aug-16,Northern Territory,Male,Education and Training,1320.7
Aug-16,Northern Territory,Male,Health Care and Social Assistance,1415.1
Aug-16,Northern Territory,Male,Arts and Recreation Services,0
Aug-16,Northern Territory,Male,Other Services,1200
Aug-16,Northern Territory,Female,"Agriculture, Forestry and Fishing",0
Aug-16,Northern Territory,Female,Mining,0
Aug-16,Northern Territory,Female,Manufacturing,0
Aug-16,Northern Territory,Female,"Electricity, Gas, Water and Waste Services",0
Aug-16,Northern Territory,Female,Construction,0
Aug-16,Northern Territory,Female,Wholesale Trade,0
Aug-16,Northern Territory,Female,Retail Trade,795.9
Aug-16,Northern Territory,Female,Accommodation and Food Services,718.5
Aug-16,Northern Territory,Female,"Transport, Postal and Warehousing",0
Aug-16,Northern Territory,Female,Information Media and Telecommunications,0
Aug-16,Northern Territory,Female,Financial and Insurance Services,0
Aug-16,Northern Territory,Female,"Rental, Hiring and Real Estate Services",0
Aug-16,Northern Territory,Female,"Professional, Scientific and Technical Services",1294.2
Aug-16,Northern Territory,Female,Administrative and Support Services,0
Aug-16,Northern Territory,Female,Public Administration and Safety,1250
Aug-16,Northern Territory,Female,Education and Training,1178.6
Aug-16,Northern Territory,Female,Health Care and Social Assistance,1100
Aug-16,Northern Territory,Female,Arts and Recreation Services,0
Aug-16,Northern Territory,Female,Other Services,0
Aug-16,Australian Capital Territory,Male,"Agriculture, Forestry and Fishing",0
Aug-16,Australian Capital Territory,Male,Mining,0
Aug-16,Australian Capital Territory,Male,Manufacturing,0
Aug-16,Australian Capital Territory,Male,"Electricity, Gas, Water and Waste Services",0
Aug-16,Australian Capital Territory,Male,Construction,1428.1
Aug-16,Australian Capital Territory,Male,Wholesale Trade,0
Aug-16,Australian Capital Territory,Male,Retail Trade,931.3
Aug-16,Australian Capital Territory,Male,Accommodation and Food Services,488.5
Aug-16,Australian Capital Territory,Male,"Transport, Postal and Warehousing",1399.7
Aug-16,Australian Capital Territory,Male,Information Media and Telecommunications,0
Aug-16,Australian Capital Territory,Male,Financial and Insurance Services,0
Aug-16,Australian Capital Territory,Male,"Rental, Hiring and Real Estate Services",0
Aug-16,Australian Capital Territory,Male,"Professional, Scientific and Technical Services",1671.8
Aug-16,Australian Capital Territory,Male,Administrative and Support Services,0
Aug-16,Australian Capital Territory,Male,Public Administration and Safety,1726
Aug-16,Australian Capital Territory,Male,Education and Training,1269.3
Aug-16,Australian Capital Territory,Male,Health Care and Social Assistance,1231.3
Aug-16,Australian Capital Territory,Male,Arts and Recreation Services,0
Aug-16,Australian Capital Territory,Male,Other Services,0
Aug-16,Australian Capital Territory,Female,"Agriculture, Forestry and Fishing",0
Aug-16,Australian Capital Territory,Female,Mining,0
Aug-16,Australian Capital Territory,Female,Manufacturing,0
Aug-16,Australian Capital Territory,Female,"Electricity, Gas, Water and Waste Services",0
Aug-16,Australian Capital Territory,Female,Construction,0
Aug-16,Australian Capital Territory,Female,Wholesale Trade,0
Aug-16,Australian Capital Territory,Female,Retail Trade,750
Aug-16,Australian Capital Territory,Female,Accommodation and Food Services,393.9
Aug-16,Australian Capital Territory,Female,"Transport, Postal and Warehousing",0
Aug-16,Australian Capital Territory,Female,Information Media and Telecommunications,0
Aug-16,Australian Capital Territory,Female,Financial and Insurance Services,0
Aug-16,Australian Capital Territory,Female,"Rental, Hiring and Real Estate Services",0
Aug-16,Australian Capital Territory,Female,"Professional, Scientific and Technical Services",1072
Aug-16,Australian Capital Territory,Female,Administrative and Support Services,0
Aug-16,Australian Capital Territory,Female,Public Administration and Safety,1465.6
Aug-16,Australian Capital Territory,Female,Education and Training,1151
Aug-16,Australian Capital Territory,Female,Health Care and Social Assistance,1136.6
Aug-16,Australian Capital Territory,Female,Arts and Recreation Services,0
Aug-16,Australian Capital Territory,Female,Other Services,0
Aug-17,New South Wales,Male,"Agriculture, Forestry and Fishing",940.3
Aug-17,New South Wales,Male,Mining,2500
Aug-17,New South Wales,Male,Manufacturing,1145.4
Aug-17,New South Wales,Male,"Electricity, Gas, Water and Waste Services",1526.5
Aug-17,New South Wales,Male,Construction,1200
Aug-17,New South Wales,Male,Wholesale Trade,1327.7
Aug-17,New South Wales,Male,Retail Trade,850
Aug-17,New South Wales,Male,Accommodation and Food Services,700
Aug-17,New South Wales,Male,"Transport, Postal and Warehousing",1200
Aug-17,New South Wales,Male,Information Media and Telecommunications,1766.3
Aug-17,New South Wales,Male,Financial and Insurance Services,1951.8
Aug-17,New South Wales,Male,"Rental, Hiring and Real Estate Services",1349.6
Aug-17,New South Wales,Male,"Professional, Scientific and Technical Services",1800
Aug-17,New South Wales,Male,Administrative and Support Services,1004.2
Aug-17,New South Wales,Male,Public Administration and Safety,1399.7
Aug-17,New South Wales,Male,Education and Training,1414.7
Aug-17,New South Wales,Male,Health Care and Social Assistance,1194.6
Aug-17,New South Wales,Male,Arts and Recreation Services,800
Aug-17,New South Wales,Male,Other Services,1001.3
Aug-17,New South Wales,Female,"Agriculture, Forestry and Fishing",0
Aug-17,New South Wales,Female,Mining,0
Aug-17,New South Wales,Female,Manufacturing,902
Aug-17,New South Wales,Female,"Electricity, Gas, Water and Waste Services",0
Aug-17,New South Wales,Female,Construction,830.3
Aug-17,New South Wales,Female,Wholesale Trade,951.2
Aug-17,New South Wales,Female,Retail Trade,600
Aug-17,New South Wales,Female,Accommodation and Food Services,422.5
Aug-17,New South Wales,Female,"Transport, Postal and Warehousing",998.8
Aug-17,New South Wales,Female,Information Media and Telecommunications,1131.4
Aug-17,New South Wales,Female,Financial and Insurance Services,1153.1
Aug-17,New South Wales,Female,"Rental, Hiring and Real Estate Services",915.4
Aug-17,New South Wales,Female,"Professional, Scientific and Technical Services",1247
Aug-17,New South Wales,Female,Administrative and Support Services,823.7
Aug-17,New South Wales,Female,Public Administration and Safety,1400
Aug-17,New South Wales,Female,Education and Training,991.6
Aug-17,New South Wales,Female,Health Care and Social Assistance,903.6
Aug-17,New South Wales,Female,Arts and Recreation Services,768.2
Aug-17,New South Wales,Female,Other Services,698
Aug-17,Victoria,Male,"Agriculture, Forestry and Fishing",1019.9
Aug-17,Victoria,Male,Mining,0
Aug-17,Victoria,Male,Manufacturing,1170.3
Aug-17,Victoria,Male,"Electricity, Gas, Water and Waste Services",1400
Aug-17,Victoria,Male,Construction,1250
Aug-17,Victoria,Male,Wholesale Trade,1153.2
Aug-17,Victoria,Male,Retail Trade,810.9
Aug-17,Victoria,Male,Accommodation and Food Services,600
Aug-17,Victoria,Male,"Transport, Postal and Warehousing",1300
Aug-17,Victoria,Male,Information Media and Telecommunications,1437.2
Aug-17,Victoria,Male,Financial and Insurance Services,1834.9
Aug-17,Victoria,Male,"Rental, Hiring and Real Estate Services",1289.2
Aug-17,Victoria,Male,"Professional, Scientific and Technical Services",1841
Aug-17,Victoria,Male,Administrative and Support Services,873.5
Aug-17,Victoria,Male,Public Administration and Safety,1483
Aug-17,Victoria,Male,Education and Training,1400
Aug-17,Victoria,Male,Health Care and Social Assistance,1040.4
Aug-17,Victoria,Male,Arts and Recreation Services,840.1
Aug-17,Victoria,Male,Other Services,1116.3
Aug-17,Victoria,Female,"Agriculture, Forestry and Fishing",0
Aug-17,Victoria,Female,Mining,0
Aug-17,Victoria,Female,Manufacturing,850
Aug-17,Victoria,Female,"Electricity, Gas, Water and Waste Services",0
Aug-17,Victoria,Female,Construction,1264
Aug-17,Victoria,Female,Wholesale Trade,1000
Aug-17,Victoria,Female,Retail Trade,651.9
Aug-17,Victoria,Female,Accommodation and Food Services,410.7
Aug-17,Victoria,Female,"Transport, Postal and Warehousing",901
Aug-17,Victoria,Female,Information Media and Telecommunications,974.7
Aug-17,Victoria,Female,Financial and Insurance Services,1240.9
Aug-17,Victoria,Female,"Rental, Hiring and Real Estate Services",846.5
Aug-17,Victoria,Female,"Professional, Scientific and Technical Services",1035
Aug-17,Victoria,Female,Administrative and Support Services,881.2
Aug-17,Victoria,Female,Public Administration and Safety,1100
Aug-17,Victoria,Female,Education and Training,1128.2
Aug-17,Victoria,Female,Health Care and Social Assistance,900
Aug-17,Victoria,Female,Arts and Recreation Services,449.8
Aug-17,Victoria,Female,Other Services,727.1
Aug-17,Queensland,Male,"Agriculture, Forestry and Fishing",880.7
Aug-17,Queensland,Male,Mining,2167.6
Aug-17,Queensland,Male,Manufacturing,1199.5
Aug-17,Queensland,Male,"Electricity, Gas, Water and Waste Services",1954.2
Aug-17,Queensland,Male,Construction,1360.2
Aug-17,Queensland,Male,Wholesale Trade,1200.9
Aug-17,Queensland,Male,Retail Trade,847
Aug-17,Queensland,Male,Accommodation and Food Services,599.7
Aug-17,Queensland,Male,"Transport, Postal and Warehousing",1339.7
Aug-17,Queensland,Male,Information Media and Telecommunications,1385.8
Aug-17,Queensland,Male,Financial and Insurance Services,1640.2
Aug-17,Queensland,Male,"Rental, Hiring and Real Estate Services",1049.1
Aug-17,Queensland,Male,"Professional, Scientific and Technical Services",1513.9
Aug-17,Queensland,Male,Administrative and Support Services,871.7
Aug-17,Queensland,Male,Public Administration and Safety,1500
Aug-17,Queensland,Male,Education and Training,1509.2
Aug-17,Queensland,Male,Health Care and Social Assistance,1142.6
Aug-17,Queensland,Male,Arts and Recreation Services,1000
Aug-17,Queensland,Male,Other Services,1125.6
Aug-17,Queensland,Female,"Agriculture, Forestry and Fishing",613.7
Aug-17,Queensland,Female,Mining,0
Aug-17,Queensland,Female,Manufacturing,946.4
Aug-17,Queensland,Female,"Electricity, Gas, Water and Waste Services",0
Aug-17,Queensland,Female,Construction,999.4
Aug-17,Queensland,Female,Wholesale Trade,1013.5
Aug-17,Queensland,Female,Retail Trade,600
Aug-17,Queensland,Female,Accommodation and Food Services,500
Aug-17,Queensland,Female,"Transport, Postal and Warehousing",959
Aug-17,Queensland,Female,Information Media and Telecommunications,1152
Aug-17,Queensland,Female,Financial and Insurance Services,1064.9
Aug-17,Queensland,Female,"Rental, Hiring and Real Estate Services",1000
Aug-17,Queensland,Female,"Professional, Scientific and Technical Services",984.2
Aug-17,Queensland,Female,Administrative and Support Services,803.3
Aug-17,Queensland,Female,Public Administration and Safety,1241.6
Aug-17,Queensland,Female,Education and Training,1000
Aug-17,Queensland,Female,Health Care and Social Assistance,900
Aug-17,Queensland,Female,Arts and Recreation Services,650
Aug-17,Queensland,Female,Other Services,811.6
Aug-17,South Australia,Male,"Agriculture, Forestry and Fishing",900
Aug-17,South Australia,Male,Mining,1729.7
Aug-17,South Australia,Male,Manufacturing,1060.7
Aug-17,South Australia,Male,"Electricity, Gas, Water and Waste Services",1521.2
Aug-17,South Australia,Male,Construction,1177.2
Aug-17,South Australia,Male,Wholesale Trade,1150.6
Aug-17,South Australia,Male,Retail Trade,903.9
Aug-17,South Australia,Male,Accommodation and Food Services,700
Aug-17,South Australia,Male,"Transport, Postal and Warehousing",1259.7
Aug-17,South Australia,Male,Information Media and Telecommunications,1055.2
Aug-17,South Australia,Male,Financial and Insurance Services,1200
Aug-17,South Australia,Male,"Rental, Hiring and Real Estate Services",0
Aug-17,South Australia,Male,"Professional, Scientific and Technical Services",1265
Aug-17,South Australia,Male,Administrative and Support Services,819.9
Aug-17,South Australia,Male,Public Administration and Safety,1437.7
Aug-17,South Australia,Male,Education and Training,1300
Aug-17,South Australia,Male,Health Care and Social Assistance,1250
Aug-17,South Australia,Male,Arts and Recreation Services,479.8
Aug-17,South Australia,Male,Other Services,1003.1
Aug-17,South Australia,Female,"Agriculture, Forestry and Fishing",0
Aug-17,South Australia,Female,Mining,0
Aug-17,South Australia,Female,Manufacturing,793.1
Aug-17,South Australia,Female,"Electricity, Gas, Water and Waste Services",0
Aug-17,South Australia,Female,Construction,0
Aug-17,South Australia,Female,Wholesale Trade,0
Aug-17,South Australia,Female,Retail Trade,650
Aug-17,South Australia,Female,Accommodation and Food Services,271.5
Aug-17,South Australia,Female,"Transport, Postal and Warehousing",814.1
Aug-17,South Australia,Female,Information Media and Telecommunications,0
Aug-17,South Australia,Female,Financial and Insurance Services,863.4
Aug-17,South Australia,Female,"Rental, Hiring and Real Estate Services",0
Aug-17,South Australia,Female,"Professional, Scientific and Technical Services",850
Aug-17,South Australia,Female,Administrative and Support Services,802.7
Aug-17,South Australia,Female,Public Administration and Safety,1312.2
Aug-17,South Australia,Female,Education and Training,1083.6
Aug-17,South Australia,Female,Health Care and Social Assistance,900
Aug-17,South Australia,Female,Arts and Recreation Services,500
Aug-17,South Australia,Female,Other Services,600
Aug-17,Western Australia,Male,"Agriculture, Forestry and Fishing",913.9
Aug-17,Western Australia,Male,Mining,2301
Aug-17,Western Australia,Male,Manufacturing,1400
Aug-17,Western Australia,Male,"Electricity, Gas, Water and Waste Services",1800.3
Aug-17,Western Australia,Male,Construction,1381.5
Aug-17,Western Australia,Male,Wholesale Trade,1238.3
Aug-17,Western Australia,Male,Retail Trade,893.2
Aug-17,Western Australia,Male,Accommodation and Food Services,748.1
Aug-17,Western Australia,Male,"Transport, Postal and Warehousing",1268.9
Aug-17,Western Australia,Male,Information Media and Telecommunications,0
Aug-17,Western Australia,Male,Financial and Insurance Services,1893.9
Aug-17,Western Australia,Male,"Rental, Hiring and Real Estate Services",1150
Aug-17,Western Australia,Male,"Professional, Scientific and Technical Services",1790.2
Aug-17,Western Australia,Male,Administrative and Support Services,1498.9
Aug-17,Western Australia,Male,Public Administration and Safety,1687.3
Aug-17,Western Australia,Male,Education and Training,1577.3
Aug-17,Western Australia,Male,Health Care and Social Assistance,1342.1
Aug-17,Western Australia,Male,Arts and Recreation Services,776.7
Aug-17,Western Australia,Male,Other Services,1226.8
Aug-17,Western Australia,Female,"Agriculture, Forestry and Fishing",0
Aug-17,Western Australia,Female,Mining,1841.8
Aug-17,Western Australia,Female,Manufacturing,1004
Aug-17,Western Australia,Female,"Electricity, Gas, Water and Waste Services",0
Aug-17,Western Australia,Female,Construction,802.7
Aug-17,Western Australia,Female,Wholesale Trade,778.3
Aug-17,Western Australia,Female,Retail Trade,540
Aug-17,Western Australia,Female,Accommodation and Food Services,400
Aug-17,Western Australia,Female,"Transport, Postal and Warehousing",1019.8
Aug-17,Western Australia,Female,Information Media and Telecommunications,0
Aug-17,Western Australia,Female,Financial and Insurance Services,1073
Aug-17,Western Australia,Female,"Rental, Hiring and Real Estate Services",1174
Aug-17,Western Australia,Female,"Professional, Scientific and Technical Services",1262.8
Aug-17,Western Australia,Female,Administrative and Support Services,843
Aug-17,Western Australia,Female,Public Administration and Safety,1246.6
Aug-17,Western Australia,Female,Education and Training,1000
Aug-17,Western Australia,Female,Health Care and Social Assistance,1000
Aug-17,Western Australia,Female,Arts and Recreation Services,532.2
Aug-17,Western Australia,Female,Other Services,435.5
Aug-17,Tasmania,Male,"Agriculture, Forestry and Fishing",1022.3
Aug-17,Tasmania,Male,Mining,1998.6
Aug-17,Tasmania,Male,Manufacturing,1150
Aug-17,Tasmania,Male,"Electricity, Gas, Water and Waste Services",1849.7
Aug-17,Tasmania,Male,Construction,1189.1
Aug-17,Tasmania,Male,Wholesale Trade,950.2
Aug-17,Tasmania,Male,Retail Trade,857.8
Aug-17,Tasmania,Male,Accommodation and Food Services,408.9
Aug-17,Tasmania,Male,"Transport, Postal and Warehousing",1110.6
Aug-17,Tasmania,Male,Information Media and Telecommunications,0
Aug-17,Tasmania,Male,Financial and Insurance Services,0
Aug-17,Tasmania,Male,"Rental, Hiring and Real Estate Services",0
Aug-17,Tasmania,Male,"Professional, Scientific and Technical Services",1381
Aug-17,Tasmania,Male,Administrative and Support Services,0
Aug-17,Tasmania,Male,Public Administration and Safety,1297.1
Aug-17,Tasmania,Male,Education and Training,1498.2
Aug-17,Tasmania,Male,Health Care and Social Assistance,1263.3
Aug-17,Tasmania,Male,Arts and Recreation Services,940.2
Aug-17,Tasmania,Male,Other Services,975.7
Aug-17,Tasmania,Female,"Agriculture, Forestry and Fishing",0
Aug-17,Tasmania,Female,Mining,0
Aug-17,Tasmania,Female,Manufacturing,605.8
Aug-17,Tasmania,Female,"Electricity, Gas, Water and Waste Services",0
Aug-17,Tasmania,Female,Construction,0
Aug-17,Tasmania,Female,Wholesale Trade,0
Aug-17,Tasmania,Female,Retail Trade,469.5
Aug-17,Tasmania,Female,Accommodation and Food Services,385.1
Aug-17,Tasmania,Female,"Transport, Postal and Warehousing",0
Aug-17,Tasmania,Female,Information Media and Telecommunications,0
Aug-17,Tasmania,Female,Financial and Insurance Services,1036.5
Aug-17,Tasmania,Female,"Rental, Hiring and Real Estate Services",0
Aug-17,Tasmania,Female,"Professional, Scientific and Technical Services",744.6
Aug-17,Tasmania,Female,Administrative and Support Services,0
Aug-17,Tasmania,Female,Public Administration and Safety,1150
Aug-17,Tasmania,Female,Education and Training,1066.5
Aug-17,Tasmania,Female,Health Care and Social Assistance,850
Aug-17,Tasmania,Female,Arts and Recreation Services,0
Aug-17,Tasmania,Female,Other Services,423
Aug-17,Northern Territory,Male,"Agriculture, Forestry and Fishing",0
Aug-17,Northern Territory,Male,Mining,2864
Aug-17,Northern Territory,Male,Manufacturing,1621.3
Aug-17,Northern Territory,Male,"Electricity, Gas, Water and Waste Services",0
Aug-17,Northern Territory,Male,Construction,1505.6
Aug-17,Northern Territory,Male,Wholesale Trade,0
Aug-17,Northern Territory,Male,Retail Trade,794.8
Aug-17,Northern Territory,Male,Accommodation and Food Services,899.8
Aug-17,Northern Territory,Male,"Transport, Postal and Warehousing",1400
Aug-17,Northern Territory,Male,Information Media and Telecommunications,0
Aug-17,Northern Territory,Male,Financial and Insurance Services,0
Aug-17,Northern Territory,Male,"Rental, Hiring and Real Estate Services",0
Aug-17,Northern Territory,Male,"Professional, Scientific and Technical Services",1823.7
Aug-17,Northern Territory,Male,Administrative and Support Services,0
Aug-17,Northern Territory,Male,Public Administration and Safety,1500
Aug-17,Northern Territory,Male,Education and Training,1811.8
Aug-17,Northern Territory,Male,Health Care and Social Assistance,1427.8
Aug-17,Northern Territory,Male,Arts and Recreation Services,0
Aug-17,Northern Territory,Male,Other Services,950.9
Aug-17,Northern Territory,Female,"Agriculture, Forestry and Fishing",0
Aug-17,Northern Territory,Female,Mining,0
Aug-17,Northern Territory,Female,Manufacturing,0
Aug-17,Northern Territory,Female,"Electricity, Gas, Water and Waste Services",0
Aug-17,Northern Territory,Female,Construction,0
Aug-17,Northern Territory,Female,Wholesale Trade,0
Aug-17,Northern Territory,Female,Retail Trade,736.1
Aug-17,Northern Territory,Female,Accommodation and Food Services,543.7
Aug-17,Northern Territory,Female,"Transport, Postal and Warehousing",0
Aug-17,Northern Territory,Female,Information Media and Telecommunications,0
Aug-17,Northern Territory,Female,Financial and Insurance Services,0
Aug-17,Northern Territory,Female,"Rental, Hiring and Real Estate Services",0
Aug-17,Northern Territory,Female,"Professional, Scientific and Technical Services",1223.6
Aug-17,Northern Territory,Female,Administrative and Support Services,0
Aug-17,Northern Territory,Female,Public Administration and Safety,1306.4
Aug-17,Northern Territory,Female,Education and Training,1117.4
Aug-17,Northern Territory,Female,Health Care and Social Assistance,1201.4
Aug-17,Northern Territory,Female,Arts and Recreation Services,0
Aug-17,Northern Territory,Female,Other Services,0
Aug-17,Australian Capital Territory,Male,"Agriculture, Forestry and Fishing",0
Aug-17,Australian Capital Territory,Male,Mining,0
Aug-17,Australian Capital Territory,Male,Manufacturing,0
Aug-17,Australian Capital Territory,Male,"Electricity, Gas, Water and Waste Services",0
Aug-17,Australian Capital Territory,Male,Construction,1500
Aug-17,Australian Capital Territory,Male,Wholesale Trade,0
Aug-17,Australian Capital Territory,Male,Retail Trade,693.1
Aug-17,Australian Capital Territory,Male,Accommodation and Food Services,834.6
Aug-17,Australian Capital Territory,Male,"Transport, Postal and Warehousing",0
Aug-17,Australian Capital Territory,Male,Information Media and Telecommunications,0
Aug-17,Australian Capital Territory,Male,Financial and Insurance Services,0
Aug-17,Australian Capital Territory,Male,"Rental, Hiring and Real Estate Services",0
Aug-17,Australian Capital Territory,Male,"Professional, Scientific and Technical Services",2037.6
Aug-17,Australian Capital Territory,Male,Administrative and Support Services,0
Aug-17,Australian Capital Territory,Male,Public Administration and Safety,1750
Aug-17,Australian Capital Territory,Male,Education and Training,1799.2
Aug-17,Australian Capital Territory,Male,Health Care and Social Assistance,1076.3
Aug-17,Australian Capital Territory,Male,Arts and Recreation Services,0
Aug-17,Australian Capital Territory,Male,Other Services,0
Aug-17,Australian Capital Territory,Female,"Agriculture, Forestry and Fishing",0
Aug-17,Australian Capital Territory,Female,Mining,0
Aug-17,Australian Capital Territory,Female,Manufacturing,0
