Reference year,Region of usual residence (SA4),Occupation of main job,Male,Female
Aug-20,Queensland,Technicians and Trades Workers,292.9,52.6
Aug-20,Queensland,Community and Personal Service Workers,76.5,192
Aug-20,Queensland,Clerical and Administrative Workers,82.9,272.2
Aug-20,Queensland,Sales Workers,92,113.2
Aug-20,Queensland,Machinery Operators and Drivers,143.6,18
Aug-20,Queensland,Labourers,176.7,95.4
Aug-20,Queensland,Not employed,0,0
Aug-20,South Australia,Managers,76.4,44.2
Aug-20,South Australia,Professionals,74.2,103.3
Aug-20,South Australia,Technicians and Trades Workers,92.2,16.1
Aug-20,South Australia,Community and Personal Service Workers,33.1,72.1
Aug-20,South Australia,Clerical and Administrative Workers,29.8,83.2
Aug-20,South Australia,Sales Workers,33.2,42.7
Aug-20,South Australia,Machinery Operators and Drivers,51.5,4.8
Aug-20,South Australia,Labourers,53,35.2
Aug-20,South Australia,Not employed,0,0
Aug-20,Western Australia,Managers,106.8,57
Aug-20,Western Australia,Professionals,154.5,189.9
Aug-20,Western Australia,Technicians and Trades Workers,186.3,35.7
Aug-20,Western Australia,Community and Personal Service Workers,37,92.5
Aug-20,Western Australia,Clerical and Administrative Workers,44.7,132.3
Aug-20,Western Australia,Sales Workers,36.7,60.7
Aug-20,Western Australia,Machinery Operators and Drivers,94,15.5
Aug-20,Western Australia,Labourers,79.8,52.1
Aug-20,Western Australia,Not employed,0,0
Aug-20,Tasmania,Managers,24.1,11.1
Aug-20,Tasmania,Professionals,28.4,34.1
Aug-20,Tasmania,Technicians and Trades Workers,27.2,7
Aug-20,Tasmania,Community and Personal Service Workers,10.2,23.9
Aug-20,Tasmania,Clerical and Administrative Workers,7.4,22.8
Aug-20,Tasmania,Sales Workers,9.3,12.5
Aug-20,Tasmania,Machinery Operators and Drivers,14.5,1.3
Aug-20,Tasmania,Labourers,18.3,13.4
Aug-20,Tasmania,Not employed,0,0
Aug-20,Northern Territory,Managers,7.5,5.3
Aug-20,Northern Territory,Professionals,12.7,17.5
Aug-20,Northern Territory,Technicians and Trades Workers,13.7,1.8
Aug-20,Northern Territory,Community and Personal Service Workers,7.6,10.1
Aug-20,Northern Territory,Clerical and Administrative Workers,5,13.5
Aug-20,Northern Territory,Sales Workers,5.2,4.1
Aug-20,Northern Territory,Machinery Operators and Drivers,6.7,0.5
Aug-20,Northern Territory,Labourers,4.4,3.4
Aug-20,Northern Territory,Not employed,0,0
Aug-20,Australian Capital Territory,Managers,19,13.4
Aug-20,Australian Capital Territory,Professionals,47.4,49.2
Aug-20,Australian Capital Territory,Technicians and Trades Workers,20.6,4
Aug-20,Australian Capital Territory,Community and Personal Service Workers,8.4,17.1
Aug-20,Australian Capital Territory,Clerical and Administrative Workers,12.7,29.5
Aug-20,Australian Capital Territory,Sales Workers,3.6,6.5
Aug-20,Australian Capital Territory,Machinery Operators and Drivers,6.1,0
Aug-20,Australian Capital Territory,Labourers,9.6,4
Aug-20,Australian Capital Territory,Not employed,0,0
Aug-20,Total,Managers,1033.5,621.8
Aug-20,Total,Professionals,1458.1,1802.2
Aug-20,Total,Technicians and Trades Workers,1432.9,261
Aug-20,Total,Community and Personal Service Workers,380.6,885
Aug-20,Total,Clerical and Administrative Workers,464.9,1269.6
Aug-20,Total,Sales Workers,420.1,572.4
Aug-20,Total,Machinery Operators and Drivers,683.1,90.2
Aug-20,Total,Labourers,753.9,403.9
Aug-20,Total,Not employed,0,0
Aug-21,New South Wales,Managers,339.7,213.4
Aug-21,New South Wales,Professionals,516.8,619
Aug-21,New South Wales,Technicians and Trades Workers,383,65.5
Aug-21,New South Wales,Community and Personal Service Workers,128.7,225.1
Aug-21,New South Wales,Clerical and Administrative Workers,155.2,400.9
Aug-21,New South Wales,Sales Workers,132.8,157
Aug-21,New South Wales,Machinery Operators and Drivers,209.1,28
Aug-21,New South Wales,Labourers,192.6,107
Aug-21,New South Wales,Not employed,0,0
Aug-21,Victoria,Managers,278.4,168.8
Aug-21,Victoria,Professionals,409.2,513.3
Aug-21,Victoria,Technicians and Trades Workers,381.9,77.4
Aug-21,Victoria,Community and Personal Service Workers,92.3,250.4
Aug-21,Victoria,Clerical and Administrative Workers,133.9,307.3
Aug-21,Victoria,Sales Workers,132.4,136.7
Aug-21,Victoria,Machinery Operators and Drivers,171.9,26.4
Aug-21,Victoria,Labourers,199.4,112.1
Aug-21,Victoria,Not employed,0,0
Aug-21,Queensland,Managers,199.1,132.3
Aug-21,Queensland,Professionals,254.6,329.5
Aug-21,Queensland,Technicians and Trades Workers,332.1,66.2
Aug-21,Queensland,Community and Personal Service Workers,86.5,209.8
Aug-21,Queensland,Clerical and Administrative Workers,78.7,272.1
Aug-21,Queensland,Sales Workers,99.2,137.7
Aug-21,Queensland,Machinery Operators and Drivers,176.8,19.3
Aug-21,Queensland,Labourers,158.1,95.2
Aug-21,Queensland,Not employed,0,0
Aug-21,South Australia,Managers,71.2,39.9
Aug-21,South Australia,Professionals,94,117.4
Aug-21,South Australia,Technicians and Trades Workers,100.1,21
Aug-21,South Australia,Community and Personal Service Workers,35.3,80.3
Aug-21,South Australia,Clerical and Administrative Workers,29.2,87.4
Aug-21,South Australia,Sales Workers,26.1,42.8
Aug-21,South Australia,Machinery Operators and Drivers,50.5,5
Aug-21,South Australia,Labourers,61.3,29.3
Aug-21,South Australia,Not employed,0,0
Aug-21,Western Australia,Managers,106.6,56
Aug-21,Western Australia,Professionals,140.8,177.7
Aug-21,Western Australia,Technicians and Trades Workers,202.8,40.7
Aug-21,Western Australia,Community and Personal Service Workers,46.6,123.4
Aug-21,Western Australia,Clerical and Administrative Workers,48.8,137.7
Aug-21,Western Australia,Sales Workers,43.6,78.7
Aug-21,Western Australia,Machinery Operators and Drivers,98.7,16
Aug-21,Western Australia,Labourers,91,48.3
Aug-21,Western Australia,Not employed,0,0
Aug-21,Tasmania,Managers,21.5,11
Aug-21,Tasmania,Professionals,26.6,34.7
Aug-21,Tasmania,Technicians and Trades Workers,36.1,7
Aug-21,Tasmania,Community and Personal Service Workers,10.7,26
Aug-21,Tasmania,Clerical and Administrative Workers,7.1,23.9
Aug-21,Tasmania,Sales Workers,8.8,16
Aug-21,Tasmania,Machinery Operators and Drivers,15.6,0.4
Aug-21,Tasmania,Labourers,21.6,11
Aug-21,Tasmania,Not employed,0,0
Aug-21,Northern Territory,Managers,7,4.7
Aug-21,Northern Territory,Professionals,11.9,19.1
Aug-21,Northern Territory,Technicians and Trades Workers,13.9,2.3
Aug-21,Northern Territory,Community and Personal Service Workers,8,10
Aug-21,Northern Territory,Clerical and Administrative Workers,4.6,12.3
Aug-21,Northern Territory,Sales Workers,4.5,4.1
Aug-21,Northern Territory,Machinery Operators and Drivers,5.4,0.6
Aug-21,Northern Territory,Labourers,6.8,3.6
Aug-21,Northern Territory,Not employed,0,0
Aug-21,Australian Capital Territory,Managers,17.9,14.2
Aug-21,Australian Capital Territory,Professionals,47.9,44.1
Aug-21,Australian Capital Territory,Technicians and Trades Workers,18,5.2
Aug-21,Australian Capital Territory,Community and Personal Service Workers,10.3,14.3
Aug-21,Australian Capital Territory,Clerical and Administrative Workers,11.2,30.5
Aug-21,Australian Capital Territory,Sales Workers,6,9.4
Aug-21,Australian Capital Territory,Machinery Operators and Drivers,7,0
Aug-21,Australian Capital Territory,Labourers,8.1,3.7
Aug-21,Australian Capital Territory,Not employed,0,0
Aug-21,Total,Managers,1043.8,639.9
Aug-21,Total,Professionals,1501.2,1855.6
Aug-21,Total,Technicians and Trades Workers,1472.7,287.8
Aug-21,Total,Community and Personal Service Workers,420,943.3
Aug-21,Total,Clerical and Administrative Workers,465.8,1276.2
Aug-21,Total,Sales Workers,451.8,582.5
Aug-21,Total,Machinery Operators and Drivers,732,93.9
Aug-21,Total,Labourers,739.2,407.1
Aug-21,Total,Not employed,0,0
Aug-22,New South Wales,Managers,373.8,263.1
Aug-22,New South Wales,Professionals,501.6,615.9
Aug-22,New South Wales,Technicians and Trades Workers,457.4,84.8
Aug-22,New South Wales,Community and Personal Service Workers,145.3,293.6
Aug-22,New South Wales,Clerical and Administrative Workers,151.3,394
Aug-22,New South Wales,Sales Workers,143.6,220
Aug-22,New South Wales,Machinery Operators and Drivers,235.6,36.3
Aug-22,New South Wales,Labourers,229.6,113.4
Aug-22,New South Wales,Not employed,0,0
Aug-22,Victoria,Managers,313,195.2
Aug-22,Victoria,Professionals,434.1,539.9
Aug-22,Victoria,Technicians and Trades Workers,387.6,71.7
Aug-22,Victoria,Community and Personal Service Workers,106.8,248.9
Aug-22,Victoria,Clerical and Administrative Workers,120.6,320.9
Aug-22,Victoria,Sales Workers,107.6,143.1
Aug-22,Victoria,Machinery Operators and Drivers,180.1,39.2
Aug-22,Victoria,Labourers,202.3,98.5
Aug-22,Victoria,Not employed,0,0
Aug-22,Queensland,Managers,197.6,140.6
Aug-22,Queensland,Professionals,269.1,373.4
Aug-22,Queensland,Technicians and Trades Workers,335.3,63.7
Aug-22,Queensland,Community and Personal Service Workers,104.8,239.2
Aug-22,Queensland,Clerical and Administrative Workers,86.2,262.4
Aug-22,Queensland,Sales Workers,97.9,143.7
Aug-22,Queensland,Machinery Operators and Drivers,172.5,26.9
Aug-22,Queensland,Labourers,170.7,95.8
Aug-22,Queensland,Not employed,0,0
Aug-22,South Australia,Managers,79.7,40.2
Aug-22,South Australia,Professionals,86.8,124.6
Aug-22,South Australia,Technicians and Trades Workers,116.4,23.6
Aug-22,South Australia,Community and Personal Service Workers,30.3,80.2
Aug-22,South Australia,Clerical and Administrative Workers,27.4,86.1
Aug-22,South Australia,Sales Workers,22.3,40.5
Aug-22,South Australia,Machinery Operators and Drivers,54.7,5.4
Aug-22,South Australia,Labourers,58.2,36.5
Aug-22,South Australia,Not employed,0,0
Aug-22,Western Australia,Managers,119,71.7
Aug-22,Western Australia,Professionals,161.6,182.6
Aug-22,Western Australia,Technicians and Trades Workers,199.8,41.1
Aug-22,Western Australia,Community and Personal Service Workers,44.9,109.5
Aug-22,Western Australia,Clerical and Administrative Workers,48.5,157.3
Aug-22,Western Australia,Sales Workers,44.4,71.7
Aug-22,Western Australia,Machinery Operators and Drivers,116.7,15.5
Aug-22,Western Australia,Labourers,80,52.8
Aug-22,Western Australia,Not employed,0,0
Aug-22,Tasmania,Managers,25.7,12.6
Aug-22,Tasmania,Professionals,26.7,35.2
Aug-22,Tasmania,Technicians and Trades Workers,34.7,8.5
Aug-22,Tasmania,Community and Personal Service Workers,9.8,25.2
Aug-22,Tasmania,Clerical and Administrative Workers,6.6,27.2
Aug-22,Tasmania,Sales Workers,8.7,14.1
Aug-22,Tasmania,Machinery Operators and Drivers,15.4,1.8
Aug-22,Tasmania,Labourers,19.6,13.1
Aug-22,Tasmania,Not employed,0,0
Aug-22,Northern Territory,Managers,9.6,8.7
Aug-22,Northern Territory,Professionals,12.1,16.3
Aug-22,Northern Territory,Technicians and Trades Workers,16.6,2.2
Aug-22,Northern Territory,Community and Personal Service Workers,6.9,9.3
Aug-22,Northern Territory,Clerical and Administrative Workers,5,13.2
Aug-22,Northern Territory,Sales Workers,2.8,5.7
Aug-22,Northern Territory,Machinery Operators and Drivers,5.4,0.6
Aug-22,Northern Territory,Labourers,7.2,2.5
Aug-22,Northern Territory,Not employed,0,0
Aug-22,Australian Capital Territory,Managers,18.1,18.7
Aug-22,Australian Capital Territory,Professionals,48.4,42.8
Aug-22,Australian Capital Territory,Technicians and Trades Workers,22.1,3.7
Aug-22,Australian Capital Territory,Community and Personal Service Workers,7.9,15.7
Aug-22,Australian Capital Territory,Clerical and Administrative Workers,13.9,29.4
Aug-22,Australian Capital Territory,Sales Workers,6.6,10.1
Aug-22,Australian Capital Territory,Machinery Operators and Drivers,5,0.7
Aug-22,Australian Capital Territory,Labourers,9.5,3.6
Aug-22,Australian Capital Territory,Not employed,0,0
Aug-22,Total,Managers,1138.3,749.2
Aug-22,Total,Professionals,1540.9,1929.4
Aug-22,Total,Technicians and Trades Workers,1567.6,303.4
Aug-22,Total,Community and Personal Service Workers,454.1,1022.4
Aug-22,Total,Clerical and Administrative Workers,457.8,1291.7
Aug-22,Total,Sales Workers,436.2,652.3
Aug-22,Total,Machinery Operators and Drivers,780.3,123.6
Aug-22,Total,Labourers,776.5,416.3
Aug-22,Total,Not employed,0,0
Aug-23,New South Wales,Managers,381.6,257.4
Aug-23,New South Wales,Professionals,509.1,659.6
Aug-23,New South Wales,Technicians and Trades Workers,437.1,82.3
Aug-23,New South Wales,Community and Personal Service Workers,173.3,303.3
Aug-23,New South Wales,Clerical and Administrative Workers,180.9,416.2
Aug-23,New South Wales,Sales Workers,157.4,211
Aug-23,New South Wales,Machinery Operators and Drivers,220.7,30.5
Aug-23,New South Wales,Labourers,243.8,104.8
Aug-23,New South Wales,Not employed,0,0
Aug-23,Victoria,Managers,284.7,197.9
Aug-23,Victoria,Professionals,449.5,539.1
Aug-23,Victoria,Technicians and Trades Workers,405.7,83.3
Aug-23,Victoria,Community and Personal Service Workers,124.1,296.4
Aug-23,Victoria,Clerical and Administrative Workers,123.4,342.8
Aug-23,Victoria,Sales Workers,124.1,165.1
Aug-23,Victoria,Machinery Operators and Drivers,205.9,32
Aug-23,Victoria,Labourers,187.8,102.8
Aug-23,Victoria,Not employed,0,0
Aug-23,Queensland,Managers,191.3,135.4
Aug-23,Queensland,Professionals,292.8,380.3
Aug-23,Queensland,Technicians and Trades Workers,340.8,69.7
Aug-23,Queensland,Community and Personal Service Workers,104.7,244.8
Aug-23,Queensland,Clerical and Administrative Workers,88.4,282.3
Aug-23,Queensland,Sales Workers,96.5,136.6
Aug-23,Queensland,Machinery Operators and Drivers,188.1,23.6
Aug-23,Queensland,Labourers,169.6,98.3
Aug-23,Queensland,Not employed,0,0
Aug-23,South Australia,Managers,80.8,46.5
Aug-23,South Australia,Professionals,93.9,128.5
Aug-23,South Australia,Technicians and Trades Workers,104.1,23.6
Aug-23,South Australia,Community and Personal Service Workers,36.1,80.2
Aug-23,South Australia,Clerical and Administrative Workers,29.5,89.4
Aug-23,South Australia,Sales Workers,29.6,47.2
Aug-23,South Australia,Machinery Operators and Drivers,59.2,6.8
Aug-23,South Australia,Labourers,61.4,31.2
Aug-23,South Australia,Not employed,0,0
Aug-23,Western Australia,Managers,108.2,67.6
Aug-23,Western Australia,Professionals,157.6,195.9
Aug-23,Western Australia,Technicians and Trades Workers,226.7,50
Aug-23,Western Australia,Community and Personal Service Workers,45.3,119.1
Aug-23,Western Australia,Clerical and Administrative Workers,42.1,148.6
Aug-23,Western Australia,Sales Workers,44.6,72.9
Aug-23,Western Australia,Machinery Operators and Drivers,116.6,24.3
Aug-23,Western Australia,Labourers,91.3,51.1
Aug-23,Western Australia,Not employed,0,0
Aug-23,Tasmania,Managers,20.5,15
Aug-23,Tasmania,Professionals,29.6,38.6
Aug-23,Tasmania,Technicians and Trades Workers,32.9,7.6
Aug-23,Tasmania,Community and Personal Service Workers,12.2,25.3
Aug-23,Tasmania,Clerical and Administrative Workers,9,23.4
Aug-23,Tasmania,Sales Workers,7.2,16.8
Aug-23,Tasmania,Machinery Operators and Drivers,16,1.6
Aug-23,Tasmania,Labourers,20.7,10.9
Aug-23,Tasmania,Not employed,0,0
Aug-23,Northern Territory,Managers,9.8,6.8
Aug-23,Northern Territory,Professionals,13,18.5
Aug-23,Northern Territory,Technicians and Trades Workers,17.2,2.6
Aug-23,Northern Territory,Community and Personal Service Workers,7.1,10.3
Aug-23,Northern Territory,Clerical and Administrative Workers,3.6,12.3
Aug-23,Northern Territory,Sales Workers,2.6,5.3
Aug-23,Northern Territory,Machinery Operators and Drivers,6.8,0.3
Aug-23,Northern Territory,Labourers,5.6,3.1
Aug-23,Northern Territory,Not employed,0,0
Aug-23,Australian Capital Territory,Managers,16.5,17.2
Aug-23,Australian Capital Territory,Professionals,48.1,49.1
Aug-23,Australian Capital Territory,Technicians and Trades Workers,21.5,7.6
Aug-23,Australian Capital Territory,Community and Personal Service Workers,10.9,14.9
Aug-23,Australian Capital Territory,Clerical and Administrative Workers,17,30.2
Aug-23,Australian Capital Territory,Sales Workers,9.6,7.6
Aug-23,Australian Capital Territory,Machinery Operators and Drivers,4.9,0
Aug-23,Australian Capital Territory,Labourers,7.7,2.4
Aug-23,Australian Capital Territory,Not employed,0,0
Aug-23,Total,Managers,1087.8,742.2
Aug-23,Total,Professionals,1596,2002.8
Aug-23,Total,Technicians and Trades Workers,1589.1,323
Aug-23,Total,Community and Personal Service Workers,507.9,1095.4
Aug-23,Total,Clerical and Administrative Workers,493.4,1343.3
Aug-23,Total,Sales Workers,472.8,657.8
Aug-23,Total,Machinery Operators and Drivers,814.8,118.5
Aug-23,Total,Labourers,795.1,403.9
Aug-23,Total,Not employed,0,0
